SMKDETACC,5,444.829,6976,30.075
SMKDETACC,4.5,444.829,6021,23.7
SMKDETACC,4,444.829,4818,17.695
SMKDETACC,3.5,444.829,3717,11.326
SMKDETACC,3,444.829,2795,6.307
SMKDETACC,2.5,444.829,2122,4.678
SMKDETACC,2,444.829,1613,2.281
SMKDETACC,1.5,444.829,1299,1.463
SMKDETACC,1,444.829,1094,0.592
SMKDETACC,0.5,444.829,1031,0.575
SMKRANACC,5,444.829,536,0.253
SMKRANACC,4.5,444.829,518,0.273
SMKRANACC,4,444.829,518,0.248
SMKRANACC,3.5,444.829,524,0.254
SMKRANACC,3,445.168,516,0.245
SMKRANACC,2.5,444.829,519,0.261
SMKRANACC,2,444.829,515,0.283
SMKRANACC,1.5,445.879,520,0.211
SMKRANACC,1,444.829,521,0.247
SMKRANACC,0.5,445.168,517,0.267
ALG3,5,444.594,2167,1.468
ALG3,4.5,445.168,1981,1.292
ALG3,4,445.173,1995,1.308
ALG3,3.5,442.325,1987,1.768
ALG3,3,444.895,1993,1.257
ALG3,2.5,444.895,1993,1.414
ALG3,2,444.15,1992,1.258
ALG3,1.5,444.895,1627,1.362
ALG3,1,441.85,1498,0.842
ALG3,0.5,430.923,1498,0.974
ALG3,5,445.333,1763,1.36
ALG3,4.5,444.958,2115,1.729
ALG3,4,445.173,1995,1.338
ALG3,3.5,445.333,1763,1.143
ALG3,3,445.878,1684,0.995
ALG3,2.5,443.155,1992,1.354
ALG3,2,441.85,1724,1.591
ALG3,1.5,444.112,1628,0.95
ALG3,1,444.895,1693,1.056
ALG3,0.5,437.396,1498,0.909
ALG3,5,445.157,1987,1.404
ALG3,4.5,445.701,1752,0.991
ALG3,4,445.173,1995,1.654
ALG3,3.5,444.743,2087,1.592
ALG3,3,445.157,1987,1.139
ALG3,2.5,443.356,1990,1.467
ALG3,2,441.85,1724,1.009
ALG3,1.5,443.771,1498,1.232
ALG3,1,436.744,1496,0.917
ALG3,0.5,428.45,1498,0.897
ALG3,5,445.157,1987,1.205
ALG3,4.5,445.168,1981,1.821
ALG3,4,444.384,1987,1.241
ALG3,3.5,443.669,1983,1.295
ALG3,3,445.157,1987,1.349
ALG3,2.5,445.878,1673,0.91
ALG3,2,443.978,1979,1.445
ALG3,1.5,441.12,1624,0.939
ALG3,1,436.848,1499,1.373
ALG3,0.5,432.093,1498,0.837
ALG3,5,445.157,1987,1.256
ALG3,4.5,445.173,1995,1.206
ALG3,4,445.157,1987,1.346
ALG3,3.5,445.678,1977,1.33
ALG3,3,445.157,1987,1.477
ALG3,2.5,445.173,1995,1.443
ALG3,2,445.168,1980,1.218
ALG3,1.5,441.12,1624,1.277
ALG3,1,436.927,1499,0.846
ALG3,0.5,436.927,1498,1.696
ALG3,5,445.879,1749,1.02
ALG3,4.5,445.173,1995,1.682
ALG3,4,444.23,1981,2.024
ALG3,3.5,445.053,1984,1.236
ALG3,3,445.157,1987,1.405
ALG3,2.5,441.668,1962,1.642
ALG3,2,444.131,1828,1.105
ALG3,1.5,444.112,1628,0.826
ALG3,1,444.895,1693,2.602
ALG3,0.5,429.101,1498,1.05
ALG2,5,446.968,3638
ALG2ACC,5,447.774,3734,2.452
ALG2,4.5,445.173,3450
ALG2ACC,4.5,445.173,3462,4.352
ALG2,4,445.157,3461
ALG2ACC,4,445.157,3472,2.236
ALG2,3.5,445.157,3461
ALG2ACC,3.5,445.157,3472,2.569
ALG2,3,445.173,3442
ALG2ACC,3,445.824,3457,3.357
ALG2,2.5,445.168,2981
ALG2ACC,2.5,446.712,3110,2.164
ALG2,2,445.168,2975
ALG2ACC,2,446.712,3107,2.536
ALG2,1.5,444.895,2978
ALG2ACC,1.5,447.43,3114,2.364
ALG2,1,444.895,2809
ALG2ACC,1,447.43,2948,2.508
ALG2,0.5,442.325,2496
ALG2ACC,0.5,444.59,2502,1.532
SMKSTREAM,5,448.007,627776,338.394
SMKSTREAM,4.5,448.007,621386,311.71
SMKSTREAM,4,448.007,614272,307.796
SMKSTREAM,3.5,448.007,606190,304.295
SMKSTREAM,3,448.007,596872,305.311
SMKSTREAM,2.5,448.007,585850,291.963
SMKSTREAM,2,448.007,572330,284.243
SMKSTREAM,1.5,448.007,554944,274.303
SMKSTREAM,1,448.007,530394,260.788
SMKSTREAM,0.5,447.305,488464,238.493
SampleGreedy,5,448.24,305691,318.462
SampleGreedy,4.5,448.24,305691,319.203
SampleGreedy,4,448.24,305691,319.49
SampleGreedy,3.5,448.24,305691,318.195
SampleGreedy,3,448.24,305691,317.782
SampleGreedy,2.5,448.24,305691,319.266
SampleGreedy,2,448.24,305691,320.033
SampleGreedy,1.5,448.24,305691,318.672
SampleGreedy,1,448.24,305691,318.734
SampleGreedy,0.5,448.222,2427,1.721
Fantom,5,444.829,1573427,782.564
Fantom,4.5,444.829,1573427,756.46
Fantom,4,444.829,1573427,761.576
Fantom,3.5,444.829,1573427,755.443
Fantom,3,444.829,1573427,754.859
Fantom,2.5,444.829,1573427,754.66
Fantom,2,444.829,1573427,755.19
Fantom,1.5,444.829,1573427,754.595
Fantom,1,444.829,1573427,762.401
Fantom,0.5,444.829,1572340,627.618
