ALG2ACC,39.721,6338.58,10551,39.7092,3.822
ALG2ACC,79.4421,6821.95,12756,70.9138,4.827
ALG2ACC,119.163,6999.97,13872,90.724,5.409
ALG2ACC,158.884,7100.43,14769,106.857,5.911
ALG2ACC,198.605,7146.73,15334,115.923,6.202
ALG2ACC,238.326,7194.08,15818,126.586,6.484
ALG3,39.721,5061.04,10154,39.7195,3.39
ALG3,79.4421,6152.74,13242,79.426,4.673
ALG3,119.163,6385.55,15173,119.156,5.679
ALG3,158.884,6513.41,17011,158.826,6.593
ALG3,198.605,6610.16,18288,198.451,7.198
ALG3,238.326,6610.48,19187,217.577,7.767
ALG3,39.721,5404.28,10582,39.6889,3.568
ALG3,79.4421,5813.88,13052,79.4409,4.615
ALG3,119.163,6571.79,15116,119.136,5.633
ALG3,158.884,6470.67,17029,158.837,6.594
ALG3,198.605,6788.96,18141,195.406,7.159
ALG3,238.326,6944.07,18591,206.904,7.321
ALG3,39.721,5406.26,10354,39.7101,3.51
ALG3,79.4421,6101.28,13336,79.4277,4.761
ALG3,119.163,6346.88,15509,119.111,5.854
ALG3,158.884,6415.43,16870,158.853,6.511
ALG3,198.605,6650.76,18245,198.579,7.2
ALG3,238.326,6698.05,19277,232.082,7.703
ALG3,39.721,5707.19,10324,39.7175,3.444
ALG3,79.4421,6164.6,13369,79.4096,4.817
ALG3,119.163,6022.79,15143,119.142,5.672
ALG3,158.884,6415.3,16843,158.85,6.504
ALG3,198.605,6565.63,18184,198.595,7.139
ALG3,238.326,6788.51,19090,229.534,7.625
ALG3,39.721,5771.43,10589,39.705,3.493
ALG3,79.4421,5898.36,13136,79.4348,4.713
ALG3,119.163,6059.98,15341,119.112,5.705
ALG3,158.884,6624.38,17030,158.826,6.549
ALG3,198.605,6477.26,18166,198.56,7.244
ALG3,238.326,6879.77,18634,210.922,7.358
ALG3,39.721,5114.09,10211,39.7155,3.399
ALG3,79.4421,6119.69,13274,79.4083,4.778
ALG3,119.163,6246.85,15475,119.163,5.801
ALG3,158.884,6565.62,16809,158.861,6.46
ALG3,198.605,6531.35,18389,198.579,7.217
ALG3,238.326,6729.23,19024,225.637,7.653
ALG3,39.721,5073.54,10365,39.7119,3.476
ALG3,79.4421,6056.33,13272,79.4407,4.739
ALG3,119.163,6403.7,15243,119.161,5.648
ALG3,158.884,6332.33,16952,158.836,6.67
ALG3,198.605,6689.37,18230,198.519,7.165
ALG3,238.326,6839.62,18773,218.467,7.493
ALG3,39.721,5098.11,10393,39.703,3.48
ALG3,79.4421,5895.41,13288,79.439,4.761
ALG3,119.163,6295.59,15334,119.137,5.815
ALG3,158.884,6674.55,17007,158.847,6.51
ALG3,198.605,6871.45,18227,198.53,7.174
ALG3,238.326,6963.44,18220,195.295,7.216
ALG3,39.721,5294.17,10639,39.7209,3.536
ALG3,79.4421,5844.64,13257,79.4301,4.765
ALG3,119.163,6174.68,15146,119.142,5.707
ALG3,158.884,6514.12,16907,158.876,6.518
ALG3,198.605,6615.99,18080,198.58,7.098
ALG3,238.326,6754.59,18873,216.807,7.487
ALG3,39.721,5136.68,10036,39.7182,3.31
ALG3,79.4421,5870.25,13192,79.4169,4.734
ALG3,119.163,6226.26,15369,119.133,5.789
ALG3,158.884,6487.35,17111,158.884,6.573
ALG3,198.605,6874.72,17830,183.252,6.918
ALG3,238.326,6581.58,19120,238.103,7.668
