Alg,B,F,Q,T
ALG2ACC,39.721,6338.58,10551,3.822
ALG2ACC,79.4421,6821.95,12756,4.827
ALG2ACC,119.163,6999.97,13872,5.409
ALG2ACC,158.884,7100.43,14769,5.911
ALG2ACC,198.605,7146.73,15334,6.202
ALG2ACC,238.326,7194.08,15818,6.484
ALG3ACC,39.721,5771.43,10589,3.493
ALG3ACC,79.4421,6164.6,13369,4.817
ALG3ACC,119.163,6571.79,15116,5.633
ALG3ACC,158.884,6674.55,17007,6.51
ALG3ACC,198.605,6874.72,17830,6.918
ALG3ACC,238.326,6963.44,18220,7.216
SampleGreedy,39.721,2495.61,15003,3.024
SampleGreedy,79.4421,3065.17,19095,3.958
SampleGreedy,119.163,3454.06,22498,4.781
SampleGreedy,158.884,3740.02,25566,5.555
SampleGreedy,198.605,3939.52,27965,6.179
SampleGreedy,238.326,4127.9,30290,6.803
SMKDETACC,39.721,5175.98,10773,3.019
SMKDETACC,79.4421,5489.29,11616,3.634
SMKDETACC,119.163,5694.66,12276,4.132
SMKDETACC,158.884,5833.48,12783,4.491
SMKDETACC,198.605,5954.47,13254,4.822
SMKDETACC,238.326,6008.12,13668,5.106
SMKRANACC,39.721,5478.97,10546,2.94
SMKRANACC,79.4421,6157.39,13846,4.254
SMKRANACC,119.163,6553.19,15931,5.144
SMKRANACC,158.884,6654.92,17755,6.028
SMKRANACC,198.605,6867.94,19416,6.719
SMKRANACC,238.326,6972.77,20830,7.493
